featureNam,featureRef,featureAlt,POINT_X,POINT_Y,admin1_state,admin2_county,admin3_payam,admin4_boma,County_id,county_x_centroid,county_y_centroid,Boma_id,boma_x_centroid,boma_y_centroid,Payam_id,payam_x_centroid,payam_y_centroid
Nit N'er,Nit Ner,,28.28826271,8.391437916,Warrap,Gogrial East,Toch West,Malual Awien,41,28.59139128,8.600532026,1208,28.30453418,8.406605982,281,28.32909235,8.462330446
Powang,Powang,,28.4531755,8.393465716,Warrap,Gogrial East,Pathuon East,Angernger,41,28.59139128,8.600532026,1199,28.44939785,8.40331691,277,28.51629214,8.292493109
Aken Ayok,Aken Ayok,,29.12642675,8.393652227,Warrap,Tonj North,Akop,Maguen,44,28.9168122,8.246538645,1278,29.13417144,8.366791598,302,29.27997532,8.413533565
Adate,Adate,,28.53481976,8.393720426,Warrap,Gogrial East,Toch East,Nyangdit,41,28.59139128,8.600532026,1204,28.50952831,8.474787279,279,28.76969085,8.788344901
Liet,Liet,,28.18736441,8.400206563,Warrap,Gogrial West,Kuac North,Majok,42,28.10580194,8.57656553,1231,28.14943055,8.368111209,288,28.06175026,8.329215081
Gnab Dit Kow,Gnab Dit Kow,,28.34856208,8.404645582,Warrap,Gogrial East,Toch West,Malual Awien,41,28.59139128,8.600532026,1208,28.30453418,8.406605982,281,28.32909235,8.462330446
Anapriang,Anapriang,,28.39,8.4,Warrap,Gogrial East,Toch West,Malual Awien,41,28.59139128,8.600532026,1208,28.30453418,8.406605982,281,28.32909235,8.462330446
Abieth,Abieth,Abith,28.93834455,8.405628533,Warrap,Tonj North,Alabek,Langkap,44,28.9168122,8.246538645,1280,29.09178637,8.58415307,303,29.04836605,8.584674128
Iork Abeb,Iork Abeb,,28.49739661,8.402902677,Warrap,Gogrial East,Toch East,Nyangdit,41,28.59139128,8.600532026,1204,28.50952831,8.474787279,279,28.76969085,8.788344901
Wun Lit,Wun Lit,Woinglek,28.646415,8.406280261,Warrap,Tonj North,Aliek,Patei,44,28.9168122,8.246538645,1282,28.82304643,8.610924616,304,28.81278994,8.558606593
