featureNam,featureRef,featureAlt,POINT_X,POINT_Y,admin1_state,admin2_county,admin3_payam,admin4_boma,County_id,county_x_centroid,county_y_centroid,Boma_id,boma_x_centroid,boma_y_centroid,Payam_id,payam_x_centroid,payam_y_centroid
Moru Kimod,Moru Kimod,,34.38333335,5.84166665,Jonglei,Pibor,Kiziongora,Kuruono,20,33.57175977,6.397469744,514,34.24913466,5.880903989,124,33.98699827,6.16269383
Natibok,Natibok,,34.2833333,5.86666665,Jonglei,Pibor,Kiziongora,Kuruono,20,33.57175977,6.397469744,514,34.24913466,5.880903989,124,33.98699827,6.16269383
Kanopir,Kanopir,,33.8666667,5.8666667,Jonglei,Pibor,Kiziongora,Koradef,20,33.57175977,6.397469744,513,33.98708784,5.997624161,124,33.98699827,6.16269383
Kabalatigo,Kabalatigo,,34.4333333,5.8666667,Jonglei,Pibor,Miwono,Rumit,20,33.57175977,6.397469744,536,34.58086279,5.996219379,127,34.72242344,6.102435092
Neria,Neria,,34.0855646,5.8833333,Jonglei,Pibor,Kiziongora,Koradef,20,33.57175977,6.397469744,513,33.98708784,5.997624161,124,33.98699827,6.16269383
Ngechele,Ngechele,,33.82152743,5.892327185,Jonglei,Pibor,Kiziongora,Koradef,20,33.57175977,6.397469744,513,33.98708784,5.997624161,124,33.98699827,6.16269383
Mathiang,Mathiang,,31.67235295,5.925911492,Lakes,Awerial,Puluk,Kalthok,47,31.22974327,6.151294944,1357,31.62196947,5.930314733,330,31.49461084,5.975060563
Kenamuke Swamp,Kenamuke Swamp,,33.79172019,5.928496759,Jonglei,Pibor,Kiziongora,Koradef,20,33.57175977,6.397469744,513,33.98708784,5.997624161,124,33.98699827,6.16269383
Panwel,Panwel,,31.69544,5.93183,Jonglei,Bor South,Kolnyang,Pariak,15,32.00685054,6.467431196,390,31.79511369,5.952775806,95,32.09564966,6.01032281
Lochiret,Lochiret,,34.1666667,5.95,Jonglei,Pibor,Kiziongora,Koradef,20,33.57175977,6.397469744,513,33.98708784,5.997624161,124,33.98699827,6.16269383
Kaigo,Kaigo,,31.67816104,5.961467438,Jonglei,Bor South,Kolnyang,Pariak,15,32.00685054,6.467431196,390,31.79511369,5.952775806,95,32.09564966,6.01032281
Maktiweng,Maktiweng,,31.83828363,5.969020885,Jonglei,Bor South,Kolnyang,Pariak,15,32.00685054,6.467431196,390,31.79511369,5.952775806,95,32.09564966,6.01032281
Pariak,Pariak,,31.66011438,5.972196687,Jonglei,Bor South,Kolnyang,Pariak,15,32.00685054,6.467431196,390,31.79511369,5.952775806,95,32.09564966,6.01032281
Lowelli,Lowelli,,33.75,5.9833333,Jonglei,Pibor,Kiziongora,Koradef,20,33.57175977,6.397469744,513,33.98708784,5.997624161,124,33.98699827,6.16269383
Katchikan,Katchikan,,34.25,5.9833333,Jonglei,Pibor,Kiziongora,Kuruono,20,33.57175977,6.397469744,514,34.24913466,5.880903989,124,33.98699827,6.16269383
River Bellel,River Bellel,,34.3,5.9833333,Jonglei,Pibor,Kiziongora,Kuruono,20,33.57175977,6.397469744,514,34.24913466,5.880903989,124,33.98699827,6.16269383
Kichepo,Kichepo,,34.50833335,5.9833333,Jonglei,Pibor,Miwono,Rumit,20,33.57175977,6.397469744,536,34.58086279,5.996219379,127,34.72242344,6.102435092
Rigl Chilimun,Rigl Chilimun,,34.0333333,6.0166667,Jonglei,Pibor,Kiziongora,Koradef,20,33.57175977,6.397469744,513,33.98708784,5.997624161,124,33.98699827,6.16269383
Logoda,Logoda,,34.88333335,6.0333333,Jonglei,Pibor,Miwono,Mewun,20,33.57175977,6.397469744,535,34.8487053,6.197186826,127,34.72242344,6.102435092
Mabior Kech,Mabior Kech,,31.62027778,6.03944445,Lakes,Awerial,Puluk,Ming-kaman,47,31.22974327,6.151294944,1358,31.45253484,5.990625448,330,31.49461084,5.975060563
Jalango,Jalango,,31.64526084,6.0485095,Jonglei,Bor South,Kolnyang,Pariak,15,32.00685054,6.467431196,390,31.79511369,5.952775806,95,32.09564966,6.01032281
Wowa,Wowa,,34.55,6.05,Jonglei,Pibor,Miwono,Rumit,20,33.57175977,6.397469744,536,34.58086279,5.996219379,127,34.72242344,6.102435092
Malek,Malek,,31.60638889,6.0675,Lakes,Awerial,Puluk,Ming-kaman,47,31.22974327,6.151294944,1358,31.45253484,5.990625448,330,31.49461084,5.975060563
Katanich,Katanich,,33.65,6.0833333,Jonglei,Pibor,Kiziongora,Ziriai,20,33.57175977,6.397469744,516,33.90443741,6.340401482,124,33.98699827,6.16269383
Titong,Titong,,34.5166667,6.0833333,Jonglei,Pibor,Miwono,Rumit,20,33.57175977,6.397469744,536,34.58086279,5.996219379,127,34.72242344,6.102435092
Munini,Munini,,34.9833333,6.0833333,Jonglei,Pibor,Miwono,Mewun,20,33.57175977,6.397469744,535,34.8487053,6.197186826,127,34.72242344,6.102435092
Awan,Awan,,31.8,6.1,Jonglei,Bor South,Kolnyang,Chuei-keer,15,32.00685054,6.467431196,387,32.21415628,6.016325412,95,32.09564966,6.01032281
Aluk,Aluk,Aluk A,31.78761001,6.101545632,Jonglei,Bor South,Kolnyang,Chuei-keer,15,32.00685054,6.467431196,387,32.21415628,6.016325412,95,32.09564966,6.01032281
Kolnyang,Kolnyang,,31.73063316,6.136060616,Jonglei,Bor South,Kolnyang,Kolnyang,15,32.00685054,6.467431196,389,31.74778732,6.072140658,95,32.09564966,6.01032281
Gwalla,Gwalla,,31.71,6.11,Jonglei,Bor South,Kolnyang,Kolnyang,15,32.00685054,6.467431196,389,31.74778732,6.072140658,95,32.09564966,6.01032281
Cuei Machar,Cuei Machar,,31.70059037,6.111271218,Jonglei,Bor South,Kolnyang,Kolnyang,15,32.00685054,6.467431196,389,31.74778732,6.072140658,95,32.09564966,6.01032281
Pajok,Pajok,,34.0666667,6.1166667,Jonglei,Pibor,Kiziongora,Koradef,20,33.57175977,6.397469744,513,33.98708784,5.997624161,124,33.98699827,6.16269383
Tukls,Tukls,,31.74,6.12,Jonglei,Bor South,Kolnyang,Kolnyang,15,32.00685054,6.467431196,389,31.74778732,6.072140658,95,32.09564966,6.01032281
Wurrier,Wurrier,,31.7314764,6.128568197,Jonglei,Bor South,Kolnyang,Kolnyang,15,32.00685054,6.467431196,389,31.74778732,6.072140658,95,32.09564966,6.01032281
Karita,Karita,,34.25,6.1333333,Jonglei,Pibor,Kiziongora,Koradef,20,33.57175977,6.397469744,513,33.98708784,5.997624161,124,33.98699827,6.16269383
Nyelichu,Nyelichu,,34.4166667,6.1333333,Jonglei,Pibor,Kiziongora,Angaimo,20,33.57175977,6.397469744,512,34.40942304,6.138664171,124,33.98699827,6.16269383
Balwan,Balwan,,34.5666667,6.15,Jonglei,Pibor,Miwono,Rumit,20,33.57175977,6.397469744,536,34.58086279,5.996219379,127,34.72242344,6.102435092
Nongwoli,Nongwoli,,33.60867039,6.151951919,Jonglei,Pibor,Kiziongora,Ziriai,20,33.57175977,6.397469744,516,33.90443741,6.340401482,124,33.98699827,6.16269383
Adol,Adol,,31.73061484,6.15312566,Jonglei,Bor South,Kolnyang,Kolnyang,15,32.00685054,6.467431196,389,31.74778732,6.072140658,95,32.09564966,6.01032281
Melwal,Melwal,,31.57571465,6.160128192,Jonglei,Bor South,Bor,Panapet,15,32.00685054,6.467431196,381,31.62297033,6.188632527,93,31.58312442,6.240833504
Makjokoy,Makjokoy,,31.77621594,6.160928813,Jonglei,Bor South,Kolnyang,Gak,15,32.00685054,6.467431196,388,31.68081815,6.143368508,95,32.09564966,6.01032281
"Jalle, Baidet & Kolunyang","Jalle, Baidet & Kolunyang",,31.74831,6.16353,Jonglei,Bor South,Kolnyang,Gak,15,32.00685054,6.467431196,388,31.68081815,6.143368508,95,32.09564966,6.01032281
Gurbi,Gurbi,,34.65,6.1666667,Jonglei,Pibor,Miwono,Mewun,20,33.57175977,6.397469744,535,34.8487053,6.197186826,127,34.72242344,6.102435092
Gurgo,Gurgo,,34.7,6.1666667,Jonglei,Pibor,Miwono,Mewun,20,33.57175977,6.397469744,535,34.8487053,6.197186826,127,34.72242344,6.102435092
Upper Boma,Upper Boma,,34.46025478,6.168535127,Jonglei,Pibor,Miwono,Rumit,20,33.57175977,6.397469744,536,34.58086279,5.996219379,127,34.72242344,6.102435092
Panapet,Panapet,Panapet Center,31.57111077,6.170591525,Jonglei,Bor South,Bor,Panapet,15,32.00685054,6.467431196,381,31.62297033,6.188632527,93,31.58312442,6.240833504
Nyap,Nyap,,31.84652236,6.178201458,Jonglei,Bor South,Anyidi,Chuei-magon,15,32.00685054,6.467431196,365,31.86488514,6.150880904,91,32.09868997,6.254737565
Boma,Boma,,34.39264876,6.179508255,Jonglei,Pibor,Boma,Itti,20,33.57175977,6.397469744,495,34.73284422,6.396750465,122,34.61852268,6.461929722
Kwal Tiu,Kwal Tiu,,31.81,6.18,Jonglei,Bor South,Anyidi,Chuei-magon,15,32.00685054,6.467431196,365,31.86488514,6.150880904,91,32.09868997,6.254737565
Towoth,Towoth,,34.38898608,6.180352327,Jonglei,Pibor,Boma,Itti,20,33.57175977,6.397469744,495,34.73284422,6.396750465,122,34.61852268,6.461929722
Mallid,Mallid,,31.73968911,6.18057063,Jonglei,Bor South,Anyidi,Chuei-magon,15,32.00685054,6.467431196,365,31.86488514,6.150880904,91,32.09868997,6.254737565
Anyidi,Anyidi,,31.80849668,6.181789217,Jonglei,Bor South,Anyidi,Chuei-magon,15,32.00685054,6.467431196,365,31.86488514,6.150880904,91,32.09868997,6.254737565
Macdit,Macdit,,31.98727,6.18182,Jonglei,Bor South,Anyidi,Thianwei,15,32.00685054,6.467431196,367,32.1395378,6.267925687,91,32.09868997,6.254737565
Marongodoa,Marongodoa,,33.9666667,6.1833333,Jonglei,Pibor,Kiziongora,Ziriai,20,33.57175977,6.397469744,516,33.90443741,6.340401482,124,33.98699827,6.16269383
Pateroping,Pateroping,,31.78953285,6.185361936,Jonglei,Bor South,Anyidi,Chuei-magon,15,32.00685054,6.467431196,365,31.86488514,6.150880904,91,32.09868997,6.254737565
Brong,Brong,,31.78333,6.18567,Jonglei,Bor South,Anyidi,Chuei-magon,15,32.00685054,6.467431196,365,31.86488514,6.150880904,91,32.09868997,6.254737565
Lual-baar,Lual-baar,Lual baar,31.79317,6.18593,Jonglei,Bor South,Anyidi,Chuei-magon,15,32.00685054,6.467431196,365,31.86488514,6.150880904,91,32.09868997,6.254737565
Mabior Leek,Mabior Leek,,31.73736,6.18803,Jonglei,Bor South,Anyidi,Chuei-magon,15,32.00685054,6.467431196,365,31.86488514,6.150880904,91,32.09868997,6.254737565
Mallau,Mallau,,32.01942234,6.190072083,Jonglei,Bor South,Anyidi,Thianwei,15,32.00685054,6.467431196,367,32.1395378,6.267925687,91,32.09868997,6.254737565
Panpandiyar,Panpandiyar,,31.62734717,6.193333459,Jonglei,Bor South,Bor,Panapet,15,32.00685054,6.467431196,381,31.62297033,6.188632527,93,31.58312442,6.240833504
Pengko,Pengko,,31.94658122,6.197881362,Jonglei,Bor South,Anyidi,Thianwei,15,32.00685054,6.467431196,367,32.1395378,6.267925687,91,32.09868997,6.254737565
Deng Shol,Deng Shol,,31.71733289,6.198076305,Jonglei,Bor South,Anyidi,Mareng,15,32.00685054,6.467431196,366,31.70132727,6.21182469,91,32.09868997,6.254737565
Towot,Towot,,34.42,6.2,Jonglei,Pibor,Boma,Itti,20,33.57175977,6.397469744,495,34.73284422,6.396750465,122,34.61852268,6.461929722
Mewun,Mewun,,34.67,6.2,Jonglei,Pibor,Miwono,Mewun,20,33.57175977,6.397469744,535,34.8487053,6.197186826,127,34.72242344,6.102435092
Dongloch,Dongloch,,31.5648717,6.2052233,Jonglei,Bor South,Bor,Bor-town,15,32.00685054,6.467431196,376,31.55826593,6.204039495,93,31.58312442,6.240833504
Bor,Bor,,31.56105737,6.21258137,Jonglei,Bor South,Bor,Bor-town,15,32.00685054,6.467431196,376,31.55826593,6.204039495,93,31.58312442,6.240833504
Meino,Meino,,34.67370233,6.208819668,Jonglei,Pibor,Miwono,Mewun,20,33.57175977,6.397469744,535,34.8487053,6.197186826,127,34.72242344,6.102435092
Magwar,Magwar,,31.5560284,6.2097711,Jonglei,Bor South,Bor,Bor-town,15,32.00685054,6.467431196,376,31.55826593,6.204039495,93,31.58312442,6.240833504
Meyun,Meyun,,34.6833333,6.2166667,Jonglei,Pibor,Miwono,Mewun,20,33.57175977,6.397469744,535,34.8487053,6.197186826,127,34.72242344,6.102435092
Kuidko,Kuidko,,31.70082233,6.219014429,Jonglei,Bor South,Anyidi,Mareng,15,32.00685054,6.467431196,366,31.70132727,6.21182469,91,32.09868997,6.254737565
Makuac,Makuac,,31.78092239,6.221420829,Jonglei,Bor South,Anyidi,Thianwei,15,32.00685054,6.467431196,367,32.1395378,6.267925687,91,32.09868997,6.254737565
Mading,Mading,,31.56818715,6.226237067,Jonglei,Bor South,Bor,Langbar,15,32.00685054,6.467431196,379,31.58808877,6.225839929,93,31.58312442,6.240833504
Lekyak,Lekyak,,31.583877,6.231301,Jonglei,Bor South,Bor,Langbar,15,32.00685054,6.467431196,379,31.58808877,6.225839929,93,31.58312442,6.240833504
Lyodein,Lyodein,,33.4666667,6.2333333,Jonglei,Pibor,Verteth,Manybicha,20,33.57175977,6.397469744,549,33.3560777,6.145394623,129,33.15816063,6.160969408
Ruar-leek,Ruar-leek,Ruarleek,31.69922,6.23502,Jonglei,Bor South,Anyidi,Mareng,15,32.00685054,6.467431196,366,31.70132727,6.21182469,91,32.09868997,6.254737565
Maruwa Hills,Maruwa Hills,,34.002377,6.236106,Jonglei,Pibor,Kiziongora,Ziriai,20,33.57175977,6.397469744,516,33.90443741,6.340401482,124,33.98699827,6.16269383
Khuts,Khuts,,34.67707006,6.237290174,Jonglei,Pibor,Miwono,Mewun,20,33.57175977,6.397469744,535,34.8487053,6.197186826,127,34.72242344,6.102435092
Ashandit,Ashandit,,31.5438889,6.2405556,Jonglei,Bor South,Bor,Arek,15,32.00685054,6.467431196,375,31.53958606,6.244012033,93,31.58312442,6.240833504
Areit,Areit,,31.55195737,6.241466552,Jonglei,Bor South,Bor,Arek,15,32.00685054,6.467431196,375,31.53958606,6.244012033,93,31.58312442,6.240833504
Langbar,Langbar,,31.57138889,6.245,Jonglei,Bor South,Bor,Gaak-yuom,15,32.00685054,6.467431196,377,31.57621383,6.296029434,93,31.58312442,6.240833504
Gigiman,Gigiman,,34.5450895,6.245178761,Jonglei,Pibor,Boma,Bayen,20,33.57175977,6.397469744,493,34.56984711,6.215146307,122,34.61852268,6.461929722
Orarak,Orarak,,32.37772183,6.24794081,Jonglei,Bor South,Anyidi,Thianwei,15,32.00685054,6.467431196,367,32.1395378,6.267925687,91,32.09868997,6.254737565
Leudier,Leudier,,31.583511,6.248622,Jonglei,Bor South,Bor,Gaak-yuom,15,32.00685054,6.467431196,377,31.57621383,6.296029434,93,31.58312442,6.240833504
River Tigaro,River Tigaro,,34.3666667,6.25,Jonglei,Pibor,Kiziongora,Ziriai,20,33.57175977,6.397469744,516,33.90443741,6.340401482,124,33.98699827,6.16269383
Dilchiek,Dilchiek,,31.59970434,6.250498773,Jonglei,Bor South,Bor,Gaak-yuom,15,32.00685054,6.467431196,377,31.57621383,6.296029434,93,31.58312442,6.240833504
Nyikan,Nyikan,,31.55151793,6.253429533,Jonglei,Bor South,Bor,Tuonygeau,15,32.00685054,6.467431196,382,31.52832793,6.289492274,93,31.58312442,6.240833504
Chan,Chan,,31.5515169,6.2534293,Jonglei,Bor South,Bor,Tuonygeau,15,32.00685054,6.467431196,382,31.52832793,6.289492274,93,31.58312442,6.240833504
Gakyoum,Gakyoum,Gaak-Yuom,31.57222222,6.25638889,Jonglei,Bor South,Bor,Gaak-yuom,15,32.00685054,6.467431196,377,31.57621383,6.296029434,93,31.58312442,6.240833504
Lual,Lual,,31.73799138,6.256952077,Jonglei,Bor South,Makuach,Makuach,15,32.00685054,6.467431196,393,31.78133268,6.275331208,96,32.18293479,6.599248197
Twango,Twango,Tuonygeau,31.56129939,6.26695038,Jonglei,Bor South,Bor,Gaak-yuom,15,32.00685054,6.467431196,377,31.57621383,6.296029434,93,31.58312442,6.240833504
Atet,Atet,,31.73541369,6.26116617,Jonglei,Bor South,Makuach,Makuach,15,32.00685054,6.467431196,393,31.78133268,6.275331208,96,32.18293479,6.599248197
Fagiel,Fagiel,,31.61,6.27,Jonglei,Bor South,Bor,Gaak-yuom,15,32.00685054,6.467431196,377,31.57621383,6.296029434,93,31.58312442,6.240833504
Nyat,Nyat,,34.3923789,6.2740014,Jonglei,Pibor,Boma,Nyat,20,33.57175977,6.397469744,499,34.47683487,6.355708978,122,34.61852268,6.461929722
Fagiel,Fagiel,,31.56672558,6.275978407,Jonglei,Bor South,Bor,Gaak-yuom,15,32.00685054,6.467431196,377,31.57621383,6.296029434,93,31.58312442,6.240833504
Manyigat,Manyigat,,32.436032,6.276884,Jonglei,Pibor,Gumuruk,Erit,20,33.57175977,6.397469744,501,32.47766269,6.349484673,123,32.65821848,6.516592671
Chuei-nyok,Chuei-nyok,Chuienyok,31.61186,6.28944,Jonglei,Bor South,Makuach,Kapat,15,32.00685054,6.467431196,391,32.21955524,6.623011484,96,32.18293479,6.599248197
Didi,Didi,,34.48962088,6.290385377,Jonglei,Pibor,Boma,Nyat,20,33.57175977,6.397469744,499,34.47683487,6.355708978,122,34.61852268,6.461929722
Falabai,Falabai,,31.6183333,6.3,Jonglei,Bor South,Makuach,Kapat,15,32.00685054,6.467431196,391,32.21955524,6.623011484,96,32.18293479,6.599248197
River Neubari,River Neubari,,34.5833333,6.3,Jonglei,Pibor,Boma,Itti,20,33.57175977,6.397469744,495,34.73284422,6.396750465,122,34.61852268,6.461929722
Palabach,Palabach,,31.61484,6.31243,Jonglei,Bor South,Makuach,Werkok,15,32.00685054,6.467431196,394,31.69375189,6.359594166,96,32.18293479,6.599248197
Bor,Bor,,31.53361877,6.320336337,Jonglei,Bor South,Bor,Tuonygeau,15,32.00685054,6.467431196,382,31.52832793,6.289492274,93,31.58312442,6.240833504
Mabior Deer,Mabior Deer,,31.66791042,6.32274566,Jonglei,Bor South,Makuach,Werkok,15,32.00685054,6.467431196,394,31.69375189,6.359594166,96,32.18293479,6.599248197
Nangora,Nangora,,32.422589,6.323536,Jonglei,Pibor,Gumuruk,Erit,20,33.57175977,6.397469744,501,32.47766269,6.349484673,123,32.65821848,6.516592671
Bor Dinka,Bor Dinka,,31.61112317,6.332770492,Jonglei,Bor South,Bor,Gaak-yuom,15,32.00685054,6.467431196,377,31.57621383,6.296029434,93,31.58312442,6.240833504
Bin,Bin,,34.8,6.3333333,Jonglei,Pibor,Boma,Itti,20,33.57175977,6.397469744,495,34.73284422,6.396750465,122,34.61852268,6.461929722
Werngueny,Werngueny,,31.65692109,6.340324595,Jonglei,Bor South,Makuach,Werkok,15,32.00685054,6.467431196,394,31.69375189,6.359594166,96,32.18293479,6.599248197
Batimoru,Batimoru,,33.38485099,6.364716266,Jonglei,Pibor,Pibor,Kuluzur,20,33.57175977,6.397469744,539,33.43842928,6.528132298,128,33.36549689,6.677655545
Werkok,Werkok,Werkok Center,31.65702961,6.344618121,Jonglei,Bor South,Makuach,Werkok,15,32.00685054,6.467431196,394,31.69375189,6.359594166,96,32.18293479,6.599248197
Amwot,Amwot,,31.9633333,6.3669444,Jonglei,Bor South,Makuach,Kapat,15,32.00685054,6.467431196,391,32.21955524,6.623011484,96,32.18293479,6.599248197
Bongor,Bongor,,31.5560689,6.3654353,Jonglei,Bor South,Baidit,Mayen,15,32.00685054,6.467431196,372,31.51950814,6.347621174,92,31.9116346,6.749876822
Bong,Bong,,31.65,6.37,Jonglei,Bor South,Baidit,Makol-chuei,15,32.00685054,6.467431196,369,32.02543365,6.793434634,92,31.9116346,6.749876822
Lual Liet,Lual Liet,Lualliet,31.64144,6.37153,Jonglei,Bor South,Baidit,Makol-chuei,15,32.00685054,6.467431196,369,32.02543365,6.793434634,92,31.9116346,6.749876822
Dari,Dari,,31.53139766,6.373578434,Jonglei,Bor South,Baidit,Mayen,15,32.00685054,6.467431196,372,31.51950814,6.347621174,92,31.9116346,6.749876822
Makol Chuei,Makol Chuei,Makol-chuei,31.65092,6.37823,Jonglei,Bor South,Baidit,Makol-chuei,15,32.00685054,6.467431196,369,32.02543365,6.793434634,92,31.9116346,6.749876822
River Boma,River Boma,,34.55,6.3833333,Jonglei,Pibor,Boma,Nyat,20,33.57175977,6.397469744,499,34.47683487,6.355708978,122,34.61852268,6.461929722
Anokwai,Anokwai,,31.56,6.39,Jonglei,Bor South,Baidit,Ngatinag,15,32.00685054,6.467431196,373,31.57616673,6.366152813,92,31.9116346,6.749876822
Fanoing,Fanoing,,31.60754068,6.418852999,Jonglei,Bor South,Baidit,Tong,15,32.00685054,6.467431196,374,31.60627593,6.41585944,92,31.9116346,6.749876822
Padak,Padak,,31.55367,6.42817,Jonglei,Bor South,Baidit,Manydeng,15,32.00685054,6.467431196,370,31.71841007,6.727304373,92,31.9116346,6.749876822
Mathing,Mathing,,31.56429825,6.428462488,Jonglei,Bor South,Baidit,Manydeng,15,32.00685054,6.467431196,370,31.71841007,6.727304373,92,31.9116346,6.749876822
Makol Cuei,Makol Cuei,,31.59455,6.43273,Jonglei,Bor South,Baidit,Manydeng,15,32.00685054,6.467431196,370,31.71841007,6.727304373,92,31.9116346,6.749876822
Lual Leek,Lual Leek,Lualleek,31.55859,6.43462,Jonglei,Bor South,Baidit,Manydeng,15,32.00685054,6.467431196,370,31.71841007,6.727304373,92,31.9116346,6.749876822
Fanom,Fanom,,31.62675823,6.439382016,Jonglei,Bor South,Baidit,Tong,15,32.00685054,6.467431196,374,31.60627593,6.41585944,92,31.9116346,6.749876822
Jokwe,Jokwe,,31.63915761,6.442127829,Jonglei,Bor South,Baidit,Tong,15,32.00685054,6.467431196,374,31.60627593,6.41585944,92,31.9116346,6.749876822
Payuel,Payuel,,31.55278,6.44243,Jonglei,Bor South,Baidit,Manydeng,15,32.00685054,6.467431196,370,31.71841007,6.727304373,92,31.9116346,6.749876822
Chol Anyang,Chol Anyang,Cholanyang,31.54763,6.44961,Jonglei,Bor South,Baidit,Manydeng,15,32.00685054,6.467431196,370,31.71841007,6.727304373,92,31.9116346,6.749876822
Kaligum,Kaligum,,34.5166667,6.45,Jonglei,Pibor,Boma,Churi,20,33.57175977,6.397469744,494,34.55929705,6.590669945,122,34.61852268,6.461929722
Gwet,Gwet,,31.62398017,6.454862218,Jonglei,Bor South,Baidit,Manydeng,15,32.00685054,6.467431196,370,31.71841007,6.727304373,92,31.9116346,6.749876822
Oyareng,Oyareng,,32.401964,6.455035,Jonglei,Pibor,Gumuruk,Erit,20,33.57175977,6.397469744,501,32.47766269,6.349484673,123,32.65821848,6.516592671
Tong,Tong,,31.63720882,6.461252238,Jonglei,Bor South,Baidit,Manydeng,15,32.00685054,6.467431196,370,31.71841007,6.727304373,92,31.9116346,6.749876822
Manyobal,Manyobal,Manyibol,32.5666667,6.4666667,Jonglei,Pibor,Gumuruk,Erit,20,33.57175977,6.397469744,501,32.47766269,6.349484673,123,32.65821848,6.516592671
Baidit,Baidit,,31.53472222,6.46805556,Jonglei,Bor South,Baidit,Mathiang,15,32.00685054,6.467431196,371,31.56587018,6.510428938,92,31.9116346,6.749876822
Diotig,Diotig,,31.62756498,6.478685259,Jonglei,Bor South,Baidit,Manydeng,15,32.00685054,6.467431196,370,31.71841007,6.727304373,92,31.9116346,6.749876822
Ashwilich,Ashwilich,,31.61071341,6.480533965,Jonglei,Bor South,Baidit,Mathiang,15,32.00685054,6.467431196,371,31.56587018,6.510428938,92,31.9116346,6.749876822
Dongdua,Dongdua,,31.50538611,6.482112648,Jonglei,Bor South,Baidit,Akayiech,15,32.00685054,6.467431196,368,31.47347664,6.433394849,92,31.9116346,6.749876822
Mangtungtoj,Mangtungtoj,,32.5833333,6.4833333,Jonglei,Pibor,Gumuruk,Erit,20,33.57175977,6.397469744,501,32.47766269,6.349484673,123,32.65821848,6.516592671
Akoybeni,Akoybeni,,31.49,6.486,Jonglei,Bor South,Baidit,Akayiech,15,32.00685054,6.467431196,368,31.47347664,6.433394849,92,31.9116346,6.749876822
Awuol-thou,Awuol-thou,Awuolthou A,31.52361,6.49588,Jonglei,Bor South,Baidit,Mathiang,15,32.00685054,6.467431196,371,31.56587018,6.510428938,92,31.9116346,6.749876822
Nwot Gut,Nwot Gut,,31.61161082,6.513426703,Jonglei,Bor South,Baidit,Mathiang,15,32.00685054,6.467431196,371,31.56587018,6.510428938,92,31.9116346,6.749876822
Biok Anyar,Biok Anyar,Biokanyar,31.53941,6.51873,Jonglei,Bor South,Baidit,Mathiang,15,32.00685054,6.467431196,371,31.56587018,6.510428938,92,31.9116346,6.749876822
Yomchir 1,Yomchir 1,Yomchir 1,31.53611,6.52361,Jonglei,Bor South,Baidit,Mathiang,15,32.00685054,6.467431196,371,31.56587018,6.510428938,92,31.9116346,6.749876822
River Tinga Tinga,River Tinga Tinga,,34.85,6.5333333,Jonglei,Pibor,Boma,Itti,20,33.57175977,6.397469744,495,34.73284422,6.396750465,122,34.61852268,6.461929722
Pamuon,Pamuon,,31.52843855,6.543594143,Jonglei,Bor South,Jalle,Akuai-deng,15,32.00685054,6.467431196,383,31.57012681,6.593120854,94,31.48776381,6.650679136
Agoy,Agoy,Agoi,32.92578163,6.547892951,Jonglei,Pibor,Verteth,Ngoli,20,33.57175977,6.397469744,552,32.91547722,6.111748054,129,33.15816063,6.160969408
Bolotifor,Bolotifor,,33.27406981,6.548990587,Jonglei,Pibor,Verteth,Nuer,20,33.57175977,6.397469744,553,33.19175765,6.642803221,129,33.15816063,6.160969408
Akur,Akur,,31.58539369,6.550921409,Jonglei,Bor South,Jalle,Akuai-deng,15,32.00685054,6.467431196,383,31.57012681,6.593120854,94,31.48776381,6.650679136
Akuei-Deng,Akuei-Deng,Akuaideng,31.52798011,6.563962083,Jonglei,Bor South,Jalle,Akuai-deng,15,32.00685054,6.467431196,383,31.57012681,6.593120854,94,31.48776381,6.650679136
Giggigamba,Giggigamba,,32.92367542,6.566348027,Jonglei,Pibor,Verteth,Ngoli,20,33.57175977,6.397469744,552,32.91547722,6.111748054,129,33.15816063,6.160969408
Aliang,Aliang,,31.52728734,6.567851729,Jonglei,Bor South,Jalle,Akuai-deng,15,32.00685054,6.467431196,383,31.57012681,6.593120854,94,31.48776381,6.650679136
Churi,Churi,,34.6683333,6.569999993,Jonglei,Pibor,Boma,Churi,20,33.57175977,6.397469744,494,34.55929705,6.590669945,122,34.61852268,6.461929722
Adet,Adet,,31.5699399,6.580062935,Jonglei,Bor South,Jalle,Akuai-deng,15,32.00685054,6.467431196,383,31.57012681,6.593120854,94,31.48776381,6.650679136
Manyabol,Manyabol,,32.74747809,6.578665864,Jonglei,Pibor,Gumuruk,Viveno,20,33.57175977,6.397469744,510,32.60915864,6.637009985,123,32.65821848,6.516592671
Gnarroth,Gnarroth,,33.1333333,6.5833333,Jonglei,Pibor,Verteth,Manybicha,20,33.57175977,6.397469744,549,33.3560777,6.145394623,129,33.15816063,6.160969408
Nialeir,Nialeir,,32.9381948,6.587682297,Jonglei,Pibor,Verteth,Ngoli,20,33.57175977,6.397469744,552,32.91547722,6.111748054,129,33.15816063,6.160969408
Lilir,Lilir,,31.49448205,6.595082381,Jonglei,Bor South,Jalle,Kolmarek,15,32.00685054,6.467431196,385,31.57469446,6.686067515,94,31.48776381,6.650679136
Burbur,Burbur,,32.96421725,6.606038314,Jonglei,Pibor,Verteth,Ngoli,20,33.57175977,6.397469744,552,32.91547722,6.111748054,129,33.15816063,6.160969408
